LF_JOINT2	LF_JOINT3	RF_JOINT2	RF_JOINT3	LB_JOINT2	LB_JOINT3	RB_JOINT2	RB_JOINT3
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4.598963646233766e-05	-0.08377672531547184	4.497575033240598e-05	-0.08377651788235015	4.5793104728380685e-05	-0.08377603700132624	4.446092444443789e-05	-0.08377580409569998
-0.022979403382130087	-0.1591753967325121	-0.022980951387012737	-0.1591751374236267	-0.023193095420145204	-0.15917438290330185	-0.02319507048332477	-0.15917402778182999
-0.06476070887980602	-0.22703401767673032	-0.06476258856601085	-0.22703376924863403	-0.06521808589304676	-0.22703285618970848	-0.06522039231250346	-0.22703242909934696
-0.12187641879709407	-0.2881066493623638	-0.12187848143637442	-0.28810644180960465	-0.12260090032665578	-0.28810545232988605	-0.12260331837887418	-0.2881049902851123
-0.17601369935331238	-0.34307170367775197	-0.1760154178208417	-0.3430715013119872	-0.17666831551141246	-0.34307068013046627	-0.17667037537646105	-0.34307029535230105
-0.22473709482968873	-0.392540247743522	-0.2247384649221335	-0.3925400451397322	-0.22532893195832757	-0.3925393836904576	-0.22533066390633816	-0.39253906991277093
-0.26858715452110554	-0.4370619634443696	-0.2685882452116661	-0.43706176244679185	-0.269121916819099	-0.4370612260064104	-0.2691233945385806	-0.4370609670171938
-0.30805164929297313	-0.4771315263538913	-0.30805251838350634	-0.47713133028841037	-0.3085344978194421	-0.4771308910438194	-0.3085357750625468	-0.47713067441117446
-0.3435693864351107	-0.5131941462720296	-0.343570081133918	-0.5131939582363991	-0.3440050693859465	-0.5131935946110071	-0.3440061850764882	-0.513193411065757
-0.3755351807270691	-0.545650513523665	-0.37553573875517765	-0.5456503357712763	-0.3759280829568291	-0.545650031350148	-0.37592906553812	-0.5456498740548813
-0.40430417451665274	-0.5748615658498649	-0.40430467417147375	-0.5748612694895157	-0.40465778280464365	-0.574862700390504	-0.4046586487923188	-0.5748625605536255
-0.43019626892510815	-0.6011516917381649	-0.43019671390336855	-0.601151234749824	-0.4305145103310548	-0.6011548238970973	-0.43051526407282953	-0.6011547002313012
-0.4534991537529173	-0.624812625163045	-0.45349955116483165	-0.6248120641776139	-0.45378556879830484	-0.6248169641649115	-0.45378622904600624	-0.6248168551674177
-0.4744717500410854	-0.6461074919839425	-0.4744721040396097	-0.6461068257310577	-0.47472952171358446	-0.6461129591549485	-0.47473009694722496	-0.6461128631121557
-0.493347086648617	-0.6652729187642433	-0.49334740065966404	-0.6652721417448535	-0.49357907941814266	-0.6652794920159455	-0.493579576525989	-0.6652794069976541
-0.5103348895467574	-0.6825218743615526	-0.5103351662282386	-0.6825209763831184	-0.5105436811874708	-0.6825295889653309	-0.5105441054786972	-0.6825295127194092
-0.52562391212366	-0.6980458110561503	-0.5256241566255554	-0.6980448405277745	-0.5258118247247554	-0.6980541374376473	-0.5258121888692231	-0.698054069404276
-0.5393840324096468	-0.7120174419628829	-0.5393842463049161	-0.7120163812366879	-0.53955315363745	-0.7120265098207978	-0.5395534604480644	-0.7120264475689988
-0.551768140637466	-0.7245920364508555	-0.5517683245908382	-0.7245908625942666	-0.5519203490422722	-0.7246020320044879	-0.5519205997785707	-0.7246019724210996
-0.5629138380446347	-0.7359090513330655	-0.5629139966787627	-0.7359078105777586	-0.5630508264613493	-0.7359195214320562	-0.5630510316757539	-0.7359194651093618
-0.572944965698041	-0.7460945188855095	-0.5729450985338357	-0.7460931815882296	-0.5730682553685114	-0.7461057229121355	-0.5730684142051642	-0.7461056660945854
-0.5819729805979518	-0.7552613266075541	-0.5819730918968787	-0.7552599348864202	-0.58208394262692	-0.7552728739008632	-0.5820840642516353	-0.7552728177940927
-0.5900981940203835	-0.7635113669330119	-0.5900982872752026	-0.7635099534628355	-0.5901980618924917	-0.7635229705768074	-0.5901981536311606	-0.7635229160502328
-0.5974108861127385	-0.7709365670365284	-0.5974109597674275	-0.7709350971038543	-0.5975007685572747	-0.7709485365543329	-0.5975008276458837	-0.7709484793781896
-0.6039923090088951	-0.777619156196252	-0.6039923665415238	-0.7776176619297853	-0.6040732052445434	-0.7776312149604305	-0.6040732385524767	-0.7776311566846764
-0.6099155896601902	-0.7836336987518724	-0.6099156282157516	-0.7836321411011362	-0.6099883971412992	-0.7836462093835714	-0.6099884001002448	-0.7836461445637349
-0.6152465422556451	-0.7890466856785261	-0.6152465655363953	-0.78904509760651	-0.6153120705883486	-0.7890593631125233	-0.6153120500444061	-0.7890592941212651
-0.6200443995990638	-0.793918291062833	-0.620044410649885	-0.7939166987216085	-0.6201033771361488	-0.7939309181065993	-0.6201033386344587	-0.793930846801814
-0.6243624712987829	-0.7983029816408275	-0.6243624660085696	-0.798301343869943	-0.6244155515539076	-0.7983159543527956	-0.6244154889098185	-0.7983158742409824
